,0
minecraft:spruce_button,13
minecraft:furnace,20
minecraft:dark_oak_trapdoor,2
minecraft:gray_dye,4
minecraft:glass_pane,112
minecraft:oak_trapdoor,28
minecraft:flint_and_steel,2
minecraft:scaffolding,42
minecraft:netherite_chestplate,1
minecraft:granite_wall,6
minecraft:netherite_leggings,1
minecraft:iron_axe,13
minecraft:iron_hoe,2
minecraft:lime_dye,4
minecraft:cobblestone_wall,54
minecraft:netherite_scrap,32
minecraft:cooked_beef,334
minecraft:sugar,36
minecraft:red_dye,19
minecraft:smooth_sandstone_stairs,4
minecraft:magenta_bed,3
minecraft:crimson_planks,236
minecraft:cyan_dye,6
minecraft:spruce_sign,9
minecraft:yellow_carpet,3
minecraft:smooth_sandstone,378
minecraft:nether_bricks,2
minecraft:cooked_salmon,81
minecraft:bucket,18
minecraft:stone_axe,2
minecraft:air,0
minecraft:bread,145
minecraft:black_stained_glass,64
minecraft:blue_dye,45
minecraft:oak_boat,2
minecraft:white_wool,7
minecraft:gold_nugget,279
minecraft:white_dye,13
minecraft:brown_wool,2
minecraft:netherite_shovel,1
minecraft:black_carpet,3
minecraft:blue_wool,2
minecraft:anvil,2
minecraft:acacia_planks,8
minecraft:torch,1076
minecraft:magenta_carpet,3
minecraft:granite_slab,18
minecraft:lapis_lazuli,612
minecraft:lapis_block,68
minecraft:diamond_chestplate,2
